,Third Party,Source,2016 H1,2016 H2,2017 H1,2017 H2,2018 H1,2018 H2,2019 H1,2019 H2,2020 H1,2020 H2,2021 H1,2021 H2,% Of Revenue,Cumulative %
0,PRS,USA (ASCAP) General & Broadcasting,1178.65,7784.59,1839.7,9223.57,2291.69,7965.82,,3805.57,1116.38,3347.89,1032.97,2619.73,25.19%,25.19%
1,PRS,Canadian (SOCAN) General & Broadcasting,2651.87,1172.85,210.98,1126.87,1855.31,518.59,,964.17,148.54,339.57,84.37,260.35,5.57%,30.76%
2,PRS,UK Concerts & Stage Shows Year 2016,,,5078.06,4222.84,,,,,,,,,5.55%,36.32%
3,PRS,UK General Recorded (Other),711.65,1037.37,391.21,2042.15,788.88,1623.94,,1272.72,511.14,284.61,84.19,303.17,5.4%,41.72%
4,PRS,Japanese (JASRAC) General & Broadcasting,1.51,460.56,43.57,218.19,175.81,326.49,,1930.72,332.99,1681.61,697.31,1927.04,4.65%,46.37%
5,PRS,UK General Recorded (Shops),584.35,663.5,387.1,1070.02,435.83,1050.85,,597.11,248.29,234.83,82.37,177.89,3.3%,49.67%
6,PRS,UK General Recorded (Restaurants & Cafes),372.5,533.35,294.18,1212.79,462.64,1149.59,,804.75,195.81,204.9,24.47,184.22,3.25%,52.92%
7,PRS,BBC Radio 2,410.63,1323.84,1055.79,1175.54,287.25,1056.61,,,,,,,3.17%,56.09%
8,PRS,Australian (APRA) General & Broadcasting,134.34,802.14,128.28,546.55,235.76,528.81,,751.17,146.35,317.54,71.38,284.2,2.36%,58.44%
9,PRS,UK General Recorded (Pubs),281.64,440.22,179.49,837.62,361.39,715.11,,590.31,208.16,139.98,31.92,135.44,2.34%,60.79%
10,PRS,USA (ASCAP) Television & Cable,58.67,509.97,101.11,663.35,162.67,511.56,,442.81,329.23,321.77,146.12,499.8,2.24%,63.02%
11,PRS,USA (ASCAP) Online,51.37,110.99,66.98,221.17,86.29,417.56,,629.78,219.42,655.25,482.11,792.11,2.23%,65.25%
12,PRS,Canadian (SOCAN) Major Live Concert Service,,,,,,,,,,3365.53,,,2.01%,67.26%
13,PRS,UK Concert Service Events,1103.81,15.92,,,2031.49,,,,,,,,1.88%,69.14%
14,PRS,Italian (SIAE) General & Broadcasting,45.97,63.21,341.99,144.18,230.34,204.89,,178.58,81.79,,,1433.59,1.63%,70.77%
15,PRS,UK General Live,255.06,512.48,128.12,944.37,134.91,187.52,,85.56,85.56,99.68,19.24,,1.46%,72.23%
16,PRS,UK Aerobics & Keep Fit,224.64,183.4,101.75,557.62,111.18,438.11,,652.64,,,,,1.35%,73.58%
17,PRS,UK Concerts and Stage Shows 2019,,,,,,,,141.95,1601.94,,282.46,166.42,1.31%,74.89%
18,PRS,Netherlands (BUMA) General & Broadcasting,0.31,239.24,,413.87,,316.28,,271.11,5.99,272.66,31.73,249.32,1.07%,75.97%
19,PRS,Jukeboxes Soundnet,,23.36,78.03,234.59,85.2,219.72,,407.75,147.83,147.65,7.04,109.16,0.87%,76.84%
20,PRS,BBC Radio 2 Low Peak,,,,,,,,513.56,182.62,277.59,83.81,260.85,0.79%,77.63%
21,PRS,Australasian (APRA) Online,15.25,79.9,22.63,88.08,41.41,244.26,,217.68,54.78,241.54,95.78,142.21,0.74%,78.37%
22,PRS,UK General Recorded (Shops: Christmas),250.41,,172.92,,397.44,,,,163.99,,32.12,,0.61%,78.98%
23,PRS,Irish (IMRO) General,62.99,292.56,24.96,53.94,25.78,80.9,,85.93,53.92,125.36,40.08,100.49,0.57%,79.54%
24,PRS,UK Karaoke,80.57,94.16,37.81,230.43,90.64,219.09,,83.68,24.98,36.0,2.81,7.41,0.54%,80.08%
25,PRS,Alliance Spotify United Kingdom Limited Download / On Demand Streaming Service,0.06,54.44,23.66,74.63,32.76,78.62,,94.87,60.77,191.14,91.46,145.56,0.51%,80.59%
26,PRS,USA (ASCAP) Private Copying,,,,780.54,,,,,,,,,0.47%,81.05%
27,PRS,Alliance Apple Music United Kingdom Limited Download / On Demand Streaming Se,,28.43,15.59,80.45,29.88,61.05,29.94,133.03,41.4,89.2,40.94,117.47,0.4%,81.45%
28,PRS,Gibraltar Live,,,,,,,,,,424.16,,178.46,0.36%,81.81%
29,PRS,German (GEMA) General & Broadcasting,0.33,73.96,8.29,202.16,,106.11,,124.7,5.88,55.48,,22.39,0.36%,82.17%
30,PRS,Theatre Shows (2016),,,,,,,,,596.43,,,,0.36%,82.53%
31,PRS,BBC Radio 2 Non Peak,,,,,,,,220.72,60.81,246.5,15.36,49.55,0.35%,82.88%
32,PRS,DJ Events,39.93,85.11,32.74,84.92,51.46,66.14,,153.27,38.63,10.44,1.51,3.79,0.34%,83.22%
33,PRS,Norwegian (TONO) General & Broadcasting,11.95,31.53,2.3,26.24,4.06,66.23,,128.78,15.33,99.24,81.09,81.26,0.33%,83.55%
34,PRS,UK Background Music Systems (Mood Media),228.09,52.03,89.09,103.79,36.56,28.8,,,,,,,0.32%,83.87%
35,PRS,Argentinian (SADAIC) General & Broadcasting,0.08,66.48,81.44,177.73,91.1,30.29,,82.48,0.89,3.09,1.0,1.14,0.32%,84.19%
36,PRS,Czech Republic (OSA) General & Broadcasting,3.53,3.04,0.25,2.5,0.09,5.86,,2.94,507.65,1.01,0.98,2.45,0.32%,84.5%
37,PRS,SACEM Tax Refund,,0.04,,248.76,4.8,37.35,,42.08,110.34,69.31,,,0.31%,84.81%
38,PRS,Small & Community Radio Services,51.65,36.67,12.77,68.94,42.19,174.85,,52.82,10.73,42.8,9.91,7.37,0.3%,85.12%
39,PRS,Swiss (SUISA) General & Broadcasting,2.5,113.95,5.94,,3.34,2.11,,1.79,344.17,10.53,,18.7,0.3%,85.42%
40,PRS,Alliance Amazon United Kingdom Limited Download / On Demand Streaming Service,,,,,,4.04,0.24,0.37,0.09,80.39,66.73,345.5,0.3%,85.71%
41,PRS,French (SACEM) General & Broadcasting,12.72,35.79,16.66,141.11,60.06,55.76,,18.89,4.74,18.19,78.16,47.15,0.29%,86.0%
42,PRS,Australian (APRA) Films,8.66,28.33,19.81,46.29,9.21,152.46,,99.36,8.26,46.44,7.66,5.9,0.26%,86.26%
43,PRS,BBC Radio 2 High Peak,,,,,,,,66.43,63.19,100.47,3.25,168.04,0.24%,86.5%
44,PRS,Danish (KODA) General & Broadcasting,17.71,110.32,0.8,46.81,3.0,45.69,,35.72,12.83,60.86,14.63,48.94,0.24%,86.74%
45,PRS,UK Live (Major Individual Events)>£5434.78,,,,,,,,,395.65,,,,0.24%,86.98%
46,PRS,Chilean (SCD) General & Broadcasting,,6.56,12.85,2.15,2.9,,,295.46,3.27,47.5,6.97,8.05,0.23%,87.21%
47,PRS,Belgian (SABAM) General & Broadcasting,79.14,11.95,54.53,11.71,109.77,,,26.57,28.02,22.33,21.26,2.6,0.22%,87.42%
48,PRS,Finnish (TEOSTO) General & Broadcasting,20.55,108.06,8.96,104.71,37.84,30.11,,34.23,0.66,2.55,1.71,9.21,0.21%,87.64%
49,PRS,BBC 6 Music (Census),51.38,85.81,53.49,52.13,23.22,52.0,,,,,,,0.19%,87.83%
50,PRS,German (GEMA) Major Live Concert Service,,,,,,,,,291.19,,,,0.17%,88.0%
51,PRS,Alliance iTunes United Kingdom Permanent Download Service Album,0.13,57.79,13.5,35.51,9.02,44.71,2.93,26.62,0.03,47.5,17.87,27.56,0.17%,88.17%
52,PRS,Singaporean (COMPASS) General & Broadcasting,1.4,6.66,0.9,78.1,38.08,22.32,,32.84,40.94,15.08,21.38,22.31,0.17%,88.34%
53,PRS,UK Concerts & Stage Shows (2015),157.24,110.14,4.72,,,,,,,,,,0.16%,88.5%
54,PRS,Swedish (STIM) General & Broadcasting,74.27,0.05,10.28,14.67,15.08,5.68,,102.51,1.4,19.31,18.04,8.27,0.16%,88.66%
55,PRS,LOML Analogy,,,,,,,,,,,,266.51,0.16%,88.82%
56,PRS,Cruise Ships Background Music,,60.14,,58.79,,36.75,,59.61,,46.94,,3.55,0.16%,88.98%
57,PRS,BBC Radioplayer,5.77,9.51,11.61,15.94,7.71,21.43,,36.95,17.89,39.41,20.65,69.82,0.15%,89.13%
58,PRS,German (GEMA) Films,,22.58,0.3,46.35,,48.45,,34.11,1.62,49.96,,50.74,0.15%,89.28%
59,PRS,Alliance Amazon Prime United Kingdom Limited Download / On Demand Streaming S,,9.42,,38.03,17.09,35.61,12.08,28.41,18.77,19.95,65.93,1.27,0.15%,89.43%
60,PRS,BBC Radio 2 Public Reception,,,,,,,,,,157.9,12.95,73.44,0.15%,89.58%
61,PRS,South African (SAMRO) General & Broadcasting (TV only),,53.41,2.38,31.18,,28.27,,15.61,0.2,46.5,0.79,55.95,0.14%,89.72%
62,PRS,Italian (SIAE) Films,22.56,22.63,39.04,29.58,40.96,8.7,,9.84,12.0,,,48.66,0.14%,89.86%
63,PRS,Danish (KODA) Films,6.74,32.16,0.86,22.46,7.3,50.52,,50.79,14.38,15.48,25.67,6.16,0.14%,90.0%
64,PRS,BBC London (Census),6.17,31.18,25.33,128.39,,27.88,,12.98,,,,,0.14%,90.13%
65,PRS,Theatre Shows 2018,,,,,,,,,,,,230.21,0.14%,90.27%
66,PRS,BBC Radio Manchester (Census),17.19,34.25,6.17,62.95,29.91,67.18,,,,,,,0.13%,90.4%
67,PRS,Vietnamese (VCPMC) G&B,,49.24,,,66.01,27.84,,27.85,1.14,11.78,21.13,4.0,0.12%,90.53%
68,PRS,Spanish (SGAE) General & Broadcasting,7.0,29.43,9.05,25.08,17.31,9.36,,23.65,,70.64,4.1,6.93,0.12%,90.65%
69,PRS,UK Concerts & Stage Shows (Pre 2018),,,,,,,,10.8,4.05,184.34,1.37,,0.12%,90.77%
70,PRS,Polish (ZAIKS) General & Broadcasting,157.27,10.43,6.13,,5.85,1.3,,7.05,3.67,1.2,1.24,3.06,0.12%,90.88%
71,PRS,Theatre Shows (Pre 2018),,,,,,,,185.92,,,,,0.11%,91.0%
72,PRS,Japanese (JASRAC) Online,2.16,21.46,7.11,22.12,2.37,20.9,,29.62,7.75,36.86,7.76,21.29,0.11%,91.1%
73,PRS,French (SACEM) Films,,16.81,,17.87,9.3,31.86,,0.2,31.44,43.72,16.47,6.84,0.1%,91.21%
74,PRS,Swedish (STIM) Online,4.23,3.49,18.53,23.25,5.69,19.02,,19.1,,21.73,13.95,40.55,0.1%,91.31%
75,PRS,Lithuanian (LATGA-A) General & Broadcasting,,165.83,,,0.54,0.71,,,,0.76,,0.6,0.1%,91.41%
76,PRS,Gold (1548 AM London),12.8,25.1,16.55,55.88,16.14,40.3,,,,,,,0.1%,91.51%
77,PRS,Alliance iTunes United Kingdom Permanent Download Service Single,0.01,63.11,6.7,29.97,5.69,19.49,1.32,12.26,,13.43,5.19,9.15,0.1%,91.61%
78,PRS,Canadian (SOCAN) Private Copying,10.9,64.54,,57.2,2.72,22.07,,7.91,,,,,0.1%,91.71%
79,PRS,USA (BMI) General & Broadcasting,0.86,1.73,0.53,20.88,2.06,7.54,,24.0,3.7,79.67,0.13,18.92,0.1%,91.8%
80,PRS,Croatian (HDS) General & Broadcasting,33.1,5.33,22.64,30.78,14.94,,,9.6,18.53,8.01,6.73,5.03,0.09%,91.89%
81,PRS,BBC WM (Census),15.02,23.19,7.68,40.55,18.75,41.1,,,,,,,0.09%,91.98%
82,PRS,UK Jukeboxes,54.13,92.0,,,,,,,,,,,0.09%,92.07%
83,PRS,German (GEMA) Private Copying,,,,,,,,95.46,19.68,7.71,,22.27,0.09%,92.16%
84,PRS,BBC2 Network Primetime,68.2,31.18,,43.14,,,,,,0.75,,,0.09%,92.24%
85,PRS,,,71.58,51.99,,,13.17,,5.51,,,,,0.08%,92.33%
86,PRS,UK Major Live Concert Service Events (Analogy),,,,,,,,,,141.17,,,0.08%,92.41%
87,PRS,Chinese (MCSC) General & Broadcasting,,1.52,,16.54,,0.4,,1.06,,3.06,,118.44,0.08%,92.49%
88,PRS,German (GEMA) Online,0.1,0.24,0.32,0.26,,,,24.09,1.11,7.05,74.69,32.66,0.08%,92.58%
89,PRS,Alliance YouTube United Kingdom Limited Download / On Demand Streaming Servic,,,,19.93,,17.56,,26.14,,51.94,5.92,16.01,0.08%,92.66%
90,PRS,BBC Radio Merseyside (Census),9.63,5.64,4.27,50.38,28.0,30.09,,,,,,,0.08%,92.74%
91,PRS,Alliance Google United Kingdom Limited Download / On Demand Streaming Service,,4.74,3.1,42.83,4.11,19.45,6.25,18.11,5.11,21.43,2.3,0.19,0.08%,92.81%
92,PRS,U105 (105.8 FM Greater Belfast) (Census),16.76,30.16,12.01,29.37,14.37,24.93,,,,,,,0.08%,92.89%
93,PRS,UK Background Music Systems (Imagesound) - Pizza Express,,23.98,11.16,33.17,8.56,17.7,,11.47,0.99,17.58,,,0.07%,92.96%
94,PRS,Canadian (SOCAN) Films,3.25,15.28,7.12,17.44,3.31,9.36,,6.93,0.4,26.98,5.52,28.25,0.07%,93.04%
95,PRS,SIAE Tax Refund,,,,,,,,,,122.77,,,0.07%,93.11%
96,PRS,BBC Radio Solent (Census),9.79,12.86,6.22,49.78,20.49,21.28,,,,,,,0.07%,93.18%
97,PRS,BBC2 Network High Peak,,,,,,,,51.87,,36.09,,31.85,0.07%,93.25%
98,PRS,Other Online - Online,,114.19,,,,,,,,,,,0.07%,93.32%
99,PRS,GEOL - Netflix,4.41,8.99,3.16,11.92,4.91,7.45,,11.34,3.86,12.28,7.82,31.64,0.06%,93.39%
100,PRS,UK Cinema Films,,,,,,,,102.69,0.08,4.05,,,0.06%,93.45%
101,PRS,Danish (NCB) Online,2.14,16.03,34.04,24.07,3.77,5.62,,9.94,,4.79,3.96,1.99,0.06%,93.51%
102,PRS,BBC1 Network Non-Primetime,39.94,11.05,9.62,35.9,8.47,,,,,0.53,,,0.06%,93.58%
103,PRS,BBC Essex (Census),9.2,8.55,7.24,32.76,21.44,23.75,,,,,,,0.06%,93.64%
104,PRS,New Zealand General & Broadcasting,9.88,24.9,3.29,14.73,3.78,7.53,,17.12,2.43,8.68,4.93,5.22,0.06%,93.7%
105,PRS,Romanian (UCMR-ADA) General & Broadcasting,14.2,17.06,2.49,27.31,19.37,5.37,,0.53,5.07,0.2,9.51,0.1,0.06%,93.76%
106,PRS,BBC Radio Sheffield (Census),6.93,12.7,7.25,33.52,10.34,29.6,,,,,,,0.06%,93.82%
107,PRS,ITV1 Granada Comms High Peak,,,,,,,,,,,,97.6,0.06%,93.88%
108,PRS,BBC Sussex & BBC Surrey (Census),12.39,6.2,6.02,43.28,15.29,14.22,,,,,,,0.06%,93.94%
109,PRS,Hong Kong (CASH) General & Broadcasting,,19.68,11.09,15.39,6.25,5.74,,6.06,11.9,7.66,,11.33,0.06%,93.99%
110,PRS,Norwegian (TONO) Films,0.51,2.87,4.15,2.09,,5.05,,6.55,2.24,14.77,4.25,48.78,0.05%,94.05%
111,PRS,Japanese (JASRAC) Films,,24.8,,34.33,,3.7,,1.74,,5.08,6.76,14.12,0.05%,94.1%
112,PRS,Wave 105.2 FM (Census),5.19,26.76,6.03,15.51,8.9,27.61,,,,,,,0.05%,94.15%
113,PRS,Alliance Spotify Netherlands Limited Download / On Demand Streaming Service Sing,,3.97,13.18,11.76,2.39,11.22,,10.21,4.73,13.23,6.16,11.07,0.05%,94.21%
114,PRS,BBC Radio Leeds (Census),4.18,7.54,6.53,29.17,13.27,26.86,,,,,,,0.05%,94.26%
115,PRS,itv Breakfast,,23.28,17.56,44.64,,,,,,,,,0.05%,94.31%
116,PRS,Austrian (AKM) General & Broadcasting,,21.88,,25.99,,,,,0.71,,31.67,4.43,0.05%,94.36%
117,PRS,BBC Radio Nottingham (Census),4.34,7.14,3.4,26.66,14.62,28.14,,,,,,,0.05%,94.41%
118,PRS,USA (BMI) Online,,,,,,,,,,14.28,10.27,59.66,0.05%,94.46%
119,PRS,Mexican (SACM) Online,,0.38,3.45,4.93,1.25,4.17,,4.89,7.18,14.67,5.75,36.91,0.05%,94.51%
120,PRS,Alliance Facebook  Inc United Kingdom Limited Download / On Demand Streaming S,,,,,,20.8,,14.61,,31.97,,13.69,0.05%,94.56%
121,PRS,BBC Radio Kent (Census),3.38,3.14,2.63,33.42,10.1,27.83,,,,,,,0.05%,94.61%
122,PRS,Alliance YouTube Germany Limited Download / On Demand Streaming Service Sing,,,0.01,0.77,6.43,29.86,,6.53,,34.97,0.61,0.73,0.05%,94.66%
123,PRS,UK Background Music Systems (Imagesound),0.29,0.1,0.03,0.11,0.07,0.11,,30.64,18.52,23.05,0.18,4.89,0.05%,94.7%
124,PRS,BBC FOUR Non-Primetime,11.47,,39.88,,6.14,18.9,,,,0.37,,,0.05%,94.75%
125,PRS,BBC Radio Derby (Census),4.61,6.27,2.63,24.4,11.74,25.3,,,,,,,0.04%,94.79%
126,PRS,Costa Rican (ACAM) General & Broadcasting,,,,,,,,34.51,11.62,4.49,18.16,5.78,0.04%,94.84%
127,PRS,Greek (AEPI) General & Broadcasting,34.53,39.9,,,,,,,,,,,0.04%,94.88%
128,PRS,BBC iPlayer,14.64,12.02,0.06,5.13,0.86,11.29,,18.83,1.41,4.63,1.27,4.08,0.04%,94.93%
129,PRS,Alliance Facebook  Inc Germany Limited Download / On Demand Streaming Service,,,,,,34.49,,5.02,,32.85,,1.04,0.04%,94.97%
130,PRS,Signal 2 (1170 AM Staffordshire & Cheshire) (Census),2.17,43.47,2.66,6.48,7.49,10.96,,,,,,,0.04%,95.01%
131,PRS,Swedish (STIM) Films,4.92,11.72,8.84,1.67,24.62,4.21,,8.02,5.41,0.21,0.95,2.18,0.04%,95.06%
132,PRS,BBC Radio Norfolk (Census),9.65,10.81,5.1,22.04,9.16,15.08,,,,,,,0.04%,95.1%
133,PRS,BBC Radio 2 (SPD),11.77,,9.48,23.81,,0.4,,10.03,,8.57,,7.53,0.04%,95.14%
134,PRS,BBC Three Counties Radio (Census),6.37,7.49,3.52,21.44,9.08,22.89,,,,,,,0.04%,95.18%
135,PRS,Alliance Spotify Sweden Limited Download / On Demand Streaming Service Single,,4.05,7.05,9.87,1.87,8.63,,10.61,5.26,9.88,4.64,8.15,0.04%,95.23%
136,PRS,ITV1 Central West Comms High Peak,,,,,,,,,,,,68.76,0.04%,95.27%
137,PRS,BBC1 Network Primetime,,53.13,,,13.54,,,,,0.39,,,0.04%,95.31%
138,PRS,Gold 1548 - London Low Peak Mains,,,,,,,,36.47,3.5,12.21,4.2,7.93,0.04%,95.35%
139,PRS,BBC Radio Newcastle (Census),2.91,5.56,8.51,24.7,7.43,15.0,,,,,,,0.04%,95.38%
140,PRS,Sky1 Primetime,,13.5,8.26,20.34,3.9,17.48,,,,,,,0.04%,95.42%
141,PRS,Malaysian (MACP) General & Broadcasting,,9.05,,0.13,,0.57,,20.93,,19.38,,11.67,0.04%,95.46%
142,PRS,BBC Radio Lancashire (Census),5.99,2.25,3.43,18.8,9.62,20.92,,,,,,,0.04%,95.5%
143,PRS,BBC Radio Stoke (Census),4.48,7.06,2.34,19.65,8.17,17.73,,,,,,,0.04%,95.53%
144,PRS,BBC Radio Leicester (Census),1.04,3.18,1.56,22.64,11.42,19.57,,,,,,,0.04%,95.57%
145,PRS,BBC Radio 6 Music Low Peak,,,,,,,,14.41,,19.73,6.3,18.5,0.04%,95.6%
146,PRS,BBC Radio 4,,17.28,,35.64,,,,5.76,,,,,0.04%,95.64%
147,PRS,Austrian (AKM) Films,,,,,,,,43.27,15.02,,,,0.03%,95.67%
148,PRS,BBC Radio Lincolnshire (Census),0.94,6.81,2.91,22.72,8.82,15.72,,,,,,,0.03%,95.71%
149,PRS,BBC Radio Wiltshire (Census),2.53,1.0,0.6,25.81,8.63,18.8,,,,,,,0.03%,95.74%
150,PRS,BBC FOUR Primetime,19.07,,37.98,,,,,,,0.29,,,0.03%,95.77%
151,PRS,BBC Radio Suffolk (Census),5.15,5.91,2.03,20.18,8.44,15.28,,,,,,,0.03%,95.81%
152,PRS,Alliance Google United Kingdom Permanent Download Service Album,0.01,11.87,2.76,3.67,6.9,17.3,1.9,3.41,1.39,6.43,0.68,0.11,0.03%,95.84%
153,PRS,Netherlands (BUMA) Online,6.82,6.97,2.2,3.02,1.85,8.29,,5.72,6.16,4.94,2.53,7.63,0.03%,95.88%
154,PRS,Belgian (SABAM) Films,1.1,,13.54,1.46,15.1,2.37,,1.41,8.2,2.85,9.29,0.79,0.03%,95.91%
155,PRS,BBC Radio Humberside (Census),2.2,5.92,6.8,19.74,8.85,12.08,,,,,,,0.03%,95.94%
156,PRS,BBC Radio Wales,3.97,17.19,2.64,8.5,5.57,17.46,,,,,,,0.03%,95.98%
157,PRS,BBC Five Live,17.52,8.1,,20.32,,9.16,,,,,,,0.03%,96.01%
158,PRS,Danish (KODA) Online,2.92,5.48,1.07,12.36,1.47,8.72,,1.79,1.51,5.52,3.26,10.94,0.03%,96.04%
159,PRS,Alliance Spotify Ireland Limited Download / On Demand Streaming Service Single,,1.85,0.96,2.99,1.44,5.13,,6.04,3.69,12.05,6.27,12.32,0.03%,96.07%
160,PRS,BBC Radio Cambridgeshire (Census),3.58,5.95,2.03,13.83,6.73,18.56,,,,,,,0.03%,96.1%
161,PRS,BBC Radio Bristol (Census),4.53,0.52,,18.97,9.19,17.4,,,,,,,0.03%,96.13%
162,PRS,BBC Radio Surrey (Census),,,,7.77,12.65,15.96,,13.5,,,,,0.03%,96.16%
163,PRS,BBC Radio York (Census),1.57,2.9,5.01,16.18,7.73,14.66,,,,,,,0.03%,96.19%
164,PRS,BBC Radio Coventry & Warwickshire (Census),3.17,4.38,1.75,16.05,7.77,14.6,,,,,,,0.03%,96.22%
165,PRS,Alliance Deezer United Kingdom Limited Download / On Demand Streaming Service,,0.57,,,,1.67,8.27,8.82,0.05,20.13,7.86,,0.03%,96.25%
166,PRS,Turkish (MESAM) General & Broadcasting,9.9,,8.38,12.43,,,,0.41,,0.46,,15.63,0.03%,96.28%
167,PRS,ITV1 Granada Comms Non Peak,,,,,,,,,,,,44.4,0.03%,96.3%
168,PRS,BBC Radio Shropshire (Census),3.69,1.71,0.32,17.62,7.14,13.43,,,,,,,0.03%,96.33%
169,PRS,BBC Radio 6 Music Non Peak,,,,,,,,16.8,2.35,16.91,,7.69,0.03%,96.36%
170,PRS,Sky1 Non-Primetime,,2.27,8.36,19.26,7.88,5.91,,,,,,,0.03%,96.38%
171,PRS,Alliance Apple Music Germany Limited Download / On Demand Streaming Service S,,4.5,1.81,5.57,1.34,4.14,1.68,10.22,2.42,3.86,2.41,5.54,0.03%,96.41%
172,PRS,ITV1 Central West Comms Non Peak,,,,,,,,,,,,42.92,0.03%,96.43%
173,PRS,BBC Radio Cumbria (Census),3.93,5.04,1.97,14.61,4.27,13.09,,,,,,,0.03%,96.46%
174,PRS,Latvian (AKKA/LAA) General & Broadcasting,,18.56,5.63,11.04,,2.32,,2.15,2.11,,1.09,,0.03%,96.48%
175,PRS,BBC Radio Berkshire (Census),2.65,3.68,1.05,17.21,8.26,9.96,,,,,,,0.03%,96.51%
176,PRS,Alliance Spotify Germany Limited Download / On Demand Streaming Service Single,,1.45,1.95,3.55,0.75,4.07,,5.56,3.39,9.85,4.29,7.81,0.03%,96.54%
177,PRS,Canadian (SOCAN) Online,,,,,,,,,,,,41.27,0.02%,96.56%
178,PRS,Alliance Amazon Prime Germany Limited Download / On Demand Streaming Service,,,,,9.6,13.8,2.79,4.44,1.99,2.32,5.35,,0.02%,96.58%
179,PRS,Netherlands (BUMA) Films,7.66,1.02,,14.46,2.88,0.01,,1.94,,2.27,0.18,9.74,0.02%,96.61%
180,PRS,BBC Radio Gloucestershire (Census),2.59,1.33,1.02,14.85,6.45,13.91,,,,,,,0.02%,96.63%
181,PRS,Malta PPS General Live - Radio & Other,,4.31,,4.02,,1.53,,12.49,0.02,9.99,,7.5,0.02%,96.66%
182,PRS,Alliance Amazon United Kingdom Permanent Download Service Album,,4.52,1.82,7.21,0.05,6.92,0.81,3.65,,2.72,1.83,9.15,0.02%,96.68%
183,PRS,Indian (IPRS) General & Broadcasting,,0.02,,,,,,,,,34.05,4.17,0.02%,96.7%
184,PRS,ITV1 Granada Comms Low Peak,,,,,,,,,,,,37.65,0.02%,96.72%
185,PRS,BBC Radio Cornwall (Census),5.91,4.93,3.43,13.77,1.88,7.04,,,,,,,0.02%,96.75%
186,PRS,Uk Concerts And Stage Shows 2018,,,,,,,,18.04,8.17,,10.44,,0.02%,96.77%
187,PRS,Wave 105 High Peak Main,,,,,,,,10.04,8.82,6.05,2.25,9.27,0.02%,96.79%
188,PRS,Now 70s Non-Primetime,,,,,,,,,,2.91,2.85,29.68,0.02%,96.81%
189,PRS,Indonesian (WAMI) G&B,,0.06,,,,,,,,,23.27,11.57,0.02%,96.83%
190,PRS,BBC Radio Hereford & Worcester (Census),3.45,7.4,2.36,11.28,2.96,7.19,,,,,,,0.02%,96.85%
191,PRS,Israeli (ACUM) General & Broadcasting,,15.15,,2.14,1.6,5.76,,8.27,,,1.34,,0.02%,96.87%
192,PRS,Alliance Deezer United Kingdom On Demand Subs Dual Single,,33.95,,,,,,,,,,,0.02%,96.89%
193,PRS,BBC1 Network High Peak,,,,,,19.11,,,,0.14,,14.67,0.02%,96.91%
194,PRS,MFR (1107 AM Highlands Moray & Aberdeenshire) (Analogy),14.57,9.23,1.2,5.35,1.37,1.22,,,,,,,0.02%,96.93%
195,PRS,BBC Radio Scotland,5.54,12.75,,5.95,5.23,3.43,,,,,,,0.02%,96.95%
196,PRS,BBC Somerset Sound (Census),2.48,1.5,0.23,12.31,5.23,10.75,,,,,,,0.02%,96.97%
197,PRS,BBC Oxford 95.2 FM (Census),1.73,3.47,1.12,11.93,4.42,8.75,,,,,,,0.02%,96.99%
198,PRS,BBC Tees (Census),1.35,3.75,3.04,10.27,3.95,8.29,,,,,,,0.02%,97.01%
199,PRS,BBC Radio Northampton (Census),1.99,3.65,1.8,12.08,2.4,8.55,,,,,,,0.02%,97.03%
200,PRS,New Zealand Films,,4.04,0.75,12.85,,1.67,,,2.33,4.85,0.08,3.81,0.02%,97.05%
201,PRS,Alliance iTunes Cloud Services United Kingdom Limited Download / On Demand Stre,,,,0.01,,9.29,,2.26,,10.39,7.87,,0.02%,97.06%
202,PRS,BBC Radio Devon (Census),5.73,4.88,1.14,9.43,2.13,6.18,,,,,,,0.02%,97.08%
203,PRS,BBC Radio 4 Extra (Census),,4.58,0.54,1.92,0.96,9.62,,11.81,,,,,0.02%,97.1%
204,PRS,Finnish (TEOSTO) Films,,10.74,,4.84,,0.67,,5.37,0.75,0.47,1.49,5.03,0.02%,97.12%
205,PRS,Portuguese (SPA) Films,,,,,,0.26,,,,,,28.49,0.02%,97.13%
206,PRS,New Zealand Online,0.39,0.7,0.51,1.66,1.66,4.36,,6.27,0.95,5.19,1.79,5.11,0.02%,97.15%
207,PRS,Alliance Facebook  Inc India Limited Download / On Demand Streaming Service Sing,,,,,,5.64,,9.82,,11.49,,,0.02%,97.17%
208,PRS,UK Fitness Classes,,,,,,,,,,,,26.74,0.02%,97.18%
209,PRS,Alliance 2016 Download Residuals United Kingdom Permanent Download Service Al,,,,,,,,,,26.49,,,0.02%,97.2%
210,PRS,Channel 4 Non Peak,,,,,,,,3.58,7.71,11.04,0.65,3.43,0.02%,97.21%
211,PRS,Fit Mix Pro - Online,,,26.4,,,,,,,,,,0.02%,97.23%
212,PRS,Alliance iTunes Germany Permanent Download Service Album,,5.48,0.85,5.09,2.15,3.64,0.17,1.32,0.78,3.13,1.4,1.4,0.02%,97.24%
213,PRS,ARESA SPOTIFY LIMITED United Kingdom Limited Download / On Demand Stream,,25.07,,-0.46,0.65,,,,,,,,0.02%,97.26%
214,PRS,UK Concerts & Stage Shows (Pre 2014),25.13,,,,,,,,,,,,0.01%,97.27%
