,Third Party,Source,2016 H1,2016 H2,2017 H1,2017 H2,2018 H1,2018 H2,2019 H1,2019 H2,2020 H1,2020 H2,2021 H1,% Of Revenue,Cumulative %
369,BMG,SLACKER ONDEMAND,,,,,,,0.1,,,,,0.0%,99.98%
370,BMG,BBC LIFESTYLE A                                   ,0.02,0.08,,,,,,,,,,0.0%,99.98%
371,BMG,2018_2Q_YANDEX_MTS_MUSIC,,,,,,,0.1,,,,,0.0%,99.98%
372,BMG,2018_3Q_YANDEX_MTS_MUSIC,,,,,,,0.1,,,,,0.0%,99.98%
373,BMG,ICE ARESA UK (PAN-EUROPEAN LICENSING)             ,,0.1,,,,,,,,,,0.0%,99.99%
374,BMG,WARNER/CHAPPELL MUSIC BRAZIL                      ,,0.1,,,,,,,,,,0.0%,99.99%
375,BMG,AZ18IR,,,,,,,0.1,,,,,0.0%,99.99%
376,BMG,Warner/Chappell Music Brazil,,,0.09,,,,,,,,,0.0%,99.99%
377,BMG,UK GENERAL RECORDED (PUBS)                        ,,0.08,,,,,,,,,,0.0%,99.99%
378,BMG,KL.FM 96.7 (CEN                                   ,,0.08,,,,,,,,,,0.0%,99.99%
379,BMG,SPIRE FM (CENSU                                   ,,0.08,,,,,,,,,,0.0%,99.99%
380,BMG,ZEPLIN MUZIK EDISYON TIC. LTD. STI.               ,0.05,0.03,,,,,,,,,,0.0%,99.99%
381,BMG,MALTA PPS GENERAL LIVE - RADIO & OTHER            ,,0.08,,,,,,,,,,0.0%,99.99%
382,BMG,RHAPSODY                                          ,0.07,0.01,,,,,,,,,,0.0%,99.99%
383,BMG,BBC RADIO 1 (SPD),,,,,,,0.07,,,,,0.0%,99.99%
384,BMG,Aresa Portugal (Pan-European Licensing),,,,0.02,0.02,,,,,,0.03,0.0%,99.99%
385,BMG,PRO RATA DISTRIBUTIONS                            ,,0.07,,,,,,,,,,0.0%,99.99%
386,BMG,APPLE SUBSCRIPTION,,,,,,,0.07,,,,,0.0%,99.99%
387,BMG,YOUTUBE PREMIUM,,,,,,,0.06,,,,,0.0%,99.99%
388,BMG,TRT TELEVIZYONLARI RADYO VE MEKANIK PRJ,,,,,,,0.06,,,,,0.0%,99.99%
389,BMG,APPLE,,,,,,,0.06,,,,,0.0%,99.99%
390,BMG,HIGH PEAK RADIO                                   ,,0.06,,,,,,,,,,0.0%,99.99%
391,BMG,SPOTIFY BUSINESS MEK. (ANALOGI,,,,,,,0.06,,,,,0.0%,99.99%
392,BMG,"GOOGLE, INC",,,,,,,0.06,,,,,0.0%,99.99%
393,BMG,SLACKER - WWW.SLACKER.COM,,,,,,,0.06,,,,,0.0%,99.99%
394,BMG,HAZIRAN UMK LISTESIZ 2016,,,,,,,0.05,,,,,0.0%,99.99%
395,BMG,One Asia Music,,,,,,,,,,,0.05,0.0%,99.99%
396,BMG,MRI - DEEZER                                      ,,0.05,,,,,,,,,,0.0%,99.99%
397,BMG,MUSIXMATCH                                        ,0.05,,,,,,,,,,,0.0%,99.99%
398,BMG,LOUDR / RE: DISCOVER                              ,,0.05,,,,,,,,,,0.0%,99.99%
399,BMG,BBC LIFESTYLE M                                   ,,0.05,,,,,,,,,,0.0%,99.99%
400,BMG,KASIM UMK LISTESIZ 2016,,,,,,,0.05,,,,,0.0%,99.99%
401,BMG,AMAZON UNLTD,,,,,,,0.05,,,,,0.0%,99.99%
402,BMG,HFA - WIMP MUSIC AS (TIDAL)                       ,,0.05,,,,,,,,,,0.0%,99.99%
403,BMG,ITUNES MATCH,,,,,,,0.05,,,,,0.0%,99.99%
404,BMG,SPOTIFY FREE,,,,,,,0.04,,,,,0.0%,99.99%
405,BMG,MUSIC ENGINE - PHYSICAL                           ,,0.04,,,,,,,,,,0.0%,99.99%
406,BMG,Aresa Lithuania (Pan-European Licensing),,,0.04,,,,,,,,,0.0%,99.99%
407,BMG,Aresa Malta (Pan-European Licensing),,,,,,0.01,,,0.01,,0.02,0.0%,100.0%
408,BMG,GEOL - BT VISION (FREE)                           ,,0.04,,,,,,,,,,0.0%,100.0%
409,BMG,BEAT A/S,,,,,,,0.04,,,,,0.0%,100.0%
410,BMG,UCMR-ADA,,,,,,,0.04,,,,,0.0%,100.0%
411,BMG,BBC RADIOPLAYER,,,,,,,0.04,,,,,0.0%,100.0%
412,BMG,3FM (CENSUS)                                      ,,0.04,,,,,,,,,,0.0%,100.0%
413,BMG,CONNECT FM (107                                   ,0.04,,,,,,,,,,,0.0%,100.0%
414,BMG,HFA - MECHANICAL COPYRIGHT PROTECTION SO          ,0.04,,,,,,,,,,,0.0%,100.0%
415,BMG,TIME FM 107.5 (                                   ,,0.04,,,,,,,,,,0.0%,100.0%
416,BMG,2018_03_VK.COM_SUBSCRIPTION,,,,,,,0.03,,,,,0.0%,100.0%
417,BMG,ITV CHANNEL ISL                                   ,0.03,,,,,,,,,,,0.0%,100.0%
418,BMG,GEOL - ALL4,,,,,,,0.03,,,,,0.0%,100.0%
419,BMG,BECAUSE EDITIONS                                  ,0.03,,,,,,,,,,,0.0%,100.0%
420,BMG,APPLE TRIAL,,,,,,,0.03,,,,,0.0%,100.0%
421,BMG,Aresa Poland (Pan-European Licensing),,,,,,,,,,,0.03,0.0%,100.0%
422,BMG,ITV PLAYER                                        ,0.03,,,,,,,,,,,0.0%,100.0%
423,BMG,ITV1 CHANNEL                                      ,0.03,,,,,,,,,,,0.0%,100.0%
424,BMG,MRI - RDIO                                        ,0.02,,,,,,,,,,,0.0%,100.0%
425,BMG,2018_07_BEELINE_MUSIC_STREAMING,,,,,,,0.02,,,,,0.0%,100.0%
426,BMG,MSB2B - THE YABOO COMPANY LTD - ONLINE,,,,,,,0.02,,,,,0.0%,100.0%
427,BMG,Aresa Slovenia (Pan-European Licensing),,,,,,0.02,,,,,,0.0%,100.0%
428,BMG,INTERNET,,,,,,,0.02,,,,,0.0%,100.0%
429,BMG,SOUTHEND RADIO                                    ,0.02,,,,,,,,,,,0.0%,100.0%
430,BMG,NSM - PHYSICAL                                    ,,0.02,,,,,,,,,,0.0%,100.0%
431,BMG,BUMA                                              ,,0.02,,,,,,,,,,0.0%,100.0%
432,BMG,Dalia Publishing Ltd. Israel,,,,,,0.02,,,,,,0.0%,100.0%
433,BMG,SABAM                                             ,0.01,0.01,,,,,,,,,,0.0%,100.0%
434,BMG,ALLMUSIC,,,,,,,0.02,,,,,0.0%,100.0%
435,BMG,TIME FM 107.5 (ANALOGY),,,,,,,0.02,,,,,0.0%,100.0%
436,BMG,TIDAL - PREMIUM + HIFI,,,,,,,0.02,,,,,0.0%,100.0%
437,BMG,RNA,,,,,,,0.02,,,,,0.0%,100.0%
438,BMG,CHANNEL 4 ON DE                                   ,0.01,0.01,,,,,,,,,,0.0%,100.0%
439,BMG,AMCOS NZ STREAMING DISTRIBUTION CLIENT,,,,,,,0.01,,,,,0.0%,100.0%
440,BMG,Peermusic Backoffice,,,,,,,,,0.01,,,0.0%,100.0%
441,BMG,"SLACKER, INC.",,,,,,,0.01,,,,,0.0%,100.0%
442,BMG,SPOTIFY AB,,,,,,,0.01,,,,,0.0%,100.0%
443,BMG,SPOTIFY UNLIM,,,,,,,0.01,,,,,0.0%,100.0%
444,BMG,C BURN PHYSICAL,,,,,,,0.01,,,,,0.0%,100.0%
445,BMG,D-Version Music Publishing Limited,,,0.01,,,,,,,,,0.0%,100.0%
446,BMG,APPLE FAMILY,,,,,,,0.01,,,,,0.0%,100.0%
447,BMG,CMRRA - SPOTIFY                                   ,,0.01,,,,,,,,,,0.0%,100.0%
448,BMG,UKTV STYLE GARD                                   ,,0.01,,,,,,,,,,0.0%,100.0%
449,BMG,Apple Lyrics - HFA,,,,,,,,,,,0.01,0.0%,100.0%
450,BMG,AZMUIR,,,,,,,0.01,,,,,0.0%,100.0%
451,BMG,Taking Care Of Business Music,,,,,,0.01,,,,,,0.0%,100.0%
452,BMG,"MEDIANET DIGITAL, INC                             ",,0.01,,,,,,,,,,0.0%,100.0%
453,BMG,AMAZON PRIME,,,,,,,0.01,,,,,0.0%,100.0%
454,BMG,APPLE STUDENT,,,,,,,0.01,,,,,0.0%,100.0%
455,BMG,MSB2B - C BURN ONLINE,,,,,,,0.01,,,,,0.0%,100.0%
456,BMG,ITV GRANADA (NS                                   ,,0.01,,,,,,,,,,0.0%,100.0%
457,,Total,1596.14,1351.74,3462.33,5109.05,1085.98,1735.89,952.13,1916.86,1422.71,1461.9,1196.16,,
