"TYPE","ARTIST_NAME","TRACK_NAME","ALBUM_NAME","LABEL_NAME","ISRC","LICENSEE_NAME","LICENSE_SERVICE_NAME","START_DATE","END_DATE","NUM_PERFORMANCES","NUM_SPINS","DISTRIBUTION_TYPE","YOUR_AMOUNT"
"","DA BRAT","WHAT'CHU LIKE","UNRESTRICTED [EXPLICIT]","SONY","","PANDORA.COM - Nonsubscription Webcast","Webcasting",01-APR-15,30-APR-15,49428,,"CURRENT",28.0591569900615
"","DA BRAT","WHAT'CHU LIKE","UNRESTRICTED [EXPLICIT]","SONY","","PANDORA.COM - Subscription Webcast","Webcasting",01-APR-15,30-APR-15,5756,,"CURRENT",5.8350519907272
"","DA BRAT","WHAT'S ON YA MIND","UNRESTRICTED","SO SO DEF","","PANDORA.COM - Nonsubscription Webcast","Webcasting",01-APR-15,30-APR-15,33,,"CURRENT",.01873335317374806
"","DA BRAT","WORLD PREMIERE","LIMELITE, LUV & NITECLUBZ","SO SO DEF","","PANDORA.COM - Nonsubscription Webcast","Webcasting",01-APR-15,30-APR-15,251,,"CURRENT",.1424870195942673
"","DA BRAT","WORLD PREMIERE","LIMELITE, LUV & NITECLUBZ","SO SO DEF","","PANDORA.COM - Subscription Webcast","Webcasting",01-APR-15,30-APR-15,41,,"CURRENT",.0415630874947558
"","Da Brat","Ain't No Thang","Funkdafied","So So Def/Work","USSM10021885","IMVU.COM","Webcasting",01-APR-12,31-MAY-14,,,"PRIOR",.32332394621077772
"","Da Brat","Ain't No Thang","Funkdafied","So So Def/Work","USSM10021885","IHEART.COM","Webcasting",01-JAN-14,30-SEP-14,,,"PRIOR",.4942928399884149
"","Da Brat","Ain't No Thang","Funkdafied","So So Def/Work","USSM10021885","iHeart Media","Webcasting",01-OCT-14,30-NOV-14,,,"PRIOR",.01861624331448354
"","Da Brat","Ain't No Thang","Funkdafied","So So Def/Work","USSM10021885","BATANGA.COM","Webcasting",01-JAN-15,28-FEB-15,11,,"CURRENT",.01025778259083646
"","Da Brat","Ain't No Thang","Funkdafied","So So Def/Work","USSM10021885","SLACKER.COM - EMI","Direct Licensing",01-APR-15,30-APR-15,177,,"CURRENT",.0550660809853476
"","Da Brat","All My Bitches","Unrestricted","So So Def","USSM19929832","PANDORA.COM - Nonsubscription Webcast","Webcasting",01-APR-15,30-APR-15,109,,"CURRENT",.0618768332102593
"","Da Brat","All My Bitches","Unrestricted","So So Def","USSM19929832","PANDORA.COM - Subscription Webcast","Webcasting",01-APR-15,30-APR-15,30,,"CURRENT",.0304120152400652
"","Da Brat","All My Bitches","Unrestricted","So So Def","USSM19929832","iHeart Media","Webcasting",01-APR-15,30-APR-15,251,,"CURRENT",.254432756809423
"","Da Brat","Anuthatantrum","Anuthatantrum","So So Def","USSM19603179","SLACKER.COM - EMI","Direct Licensing",01-APR-15,30-APR-15,425,,"CURRENT",.13222081592527
"","Da Brat","Boom","Boom","Arista","USAR10300816","ADMIN TRUE UP","Webcasting",01-JAN-12,31-DEC-13,,,"PRIOR",.0124792063456965
"","Da Brat","Boom","Limelite, Luv & Niteclubz","Arista","USAR10300635","SPOTIFY.COM","Webcasting",01-JAN-13,31-DEC-13,,,"PRIOR",.18635774639525364
"","Da Brat","Boom","Limelite, Luv & Niteclubz","Arista","USAR10300635","IMVU.COM","Webcasting",01-SEP-12,31-JUL-14,,,"PRIOR",.147887924791128773
"","Da Brat","Boom","Boom","Arista","USAR10300816","IMVU.COM","Webcasting",01-APR-12,31-AUG-14,,,"PRIOR",1.418516738072994913
"","Da Brat","Boom","Limelite, Luv & Niteclubz","Arista","USAR10300635","IHEART.COM","Webcasting",01-FEB-14,30-SEP-14,,,"PRIOR",.22992065241107613
"","Da Brat","Boom","Limelite, Luv & Niteclubz","Arista","USAR10300635","iHeart Media","Webcasting",01-NOV-14,30-NOV-14,,,"PRIOR",.0307167694223742
"","Da Brat","Chi Town","Unrestricted","So So Def","USSM19929828","SPOTIFY.COM","Webcasting",01-NOV-12,31-MAY-13,,,"PRIOR",.1102395801548323275
"","Da Brat","Chi Town","Unrestricted","So So Def","USSM19929828","IMVU.COM","Webcasting",01-APR-12,28-FEB-14,,,"PRIOR",.288137048606389143
"","Da Brat","Chi Town","Unrestricted","So So Def","USSM10000423","IHEART.COM","Webcasting",01-DEC-13,31-AUG-14,,,"PRIOR",.0539472369618957
"","Da Brat","Chi Town","Unrestricted","So So Def","USSM10000423","IMVU.COM","Webcasting",01-JAN-11,31-AUG-14,,,"PRIOR",.8321348749809570205
"","Da Brat","Chi Town","Unrestricted","So So Def","USSM19929828","SONGZA - Nonsubscription Webcast","Webcasting",01-APR-15,30-APR-15,105,,"CURRENT",.0979235636248043
"","Da Brat","Come And Get Some","Funkdafied","So So Def/Work","USSM10021886","IMVU.COM","Webcasting",01-MAY-12,31-AUG-14,,,"PRIOR",.3755149479480734
"","Da Brat","Come And Get Some","Funkdafied","So So Def/Work","USSM10021886","IHEART.COM","Webcasting",01-JAN-14,30-SEP-14,,,"PRIOR",.13032217395745992
"","Da Brat","Come And Get Some","Funkdafied","So So Def/Work","USSM10021886","iTunes Radio - Universal","Direct Licensing",01-APR-15,30-APR-15,32,,"CURRENT",.0112320510529032
"","Da Brat","Da Shit Ya Can't Fuc Wit","Funkdafied","So So Def/Work","USSM10024868","BATANGA.COM","Webcasting",01-JAN-15,30-APR-15,19,,"CURRENT",.01771797856548869
"","Da Brat","Da Shit Ya Can't Fuc Wit","Funkdafied","So So Def/Work","USSM10024868","PANDORA.COM - Nonsubscription Webcast","Webcasting",01-APR-15,30-APR-15,73,,"CURRENT",.0414404479298065
"","Da Brat","Da Shit Ya Can't Fuc Wit","Funkdafied","So So Def/Work","USSM10024868","PANDORA.COM - Subscription Webcast","Webcasting",01-APR-15,30-APR-15,20,,"CURRENT",.0202746768267104
"","Da Brat","Da Shit Ya Can't Fuc Wit","Funkdafied","So So Def/Work","USSM10024868","SLACKER.COM - EMI","Direct Licensing",01-APR-15,30-APR-15,110,,"CURRENT",.0342218582394822
"","Da Brat","Da Shit Ya Can't Fuc Wit","Funkdafied","So So Def/Work","USSM10024868","iTunes Radio - Universal","Direct Licensing",01-APR-15,30-APR-15,126,,"CURRENT",.044226201020805
"","Da Brat","F**k You","Unrestricted","So So Def","USSM10000417","IMVU.COM","Webcasting",01-JAN-11,31-AUG-14,,,"PRIOR",1.11968034447720315
"","Da Brat","Fa All Y'All","Funkdafied","So So Def/Work","USSM10024455","JANGO.COM - Nonsubscription Webcast","Webcasting",01-FEB-15,28-FEB-15,54,,"CURRENT",.0127727263233568
"","Da Brat","Fa All Y'All","ANUTHAFUNKDAFIEDTANTRUM","So So Def/Columbia","USSM19400535","PANDORA.COM - Nonsubscription Webcast","Webcasting",01-APR-15,30-APR-15,434,,"CURRENT",.246371978103235
"","Da Brat","Fa All Y'All","ANUTHAFUNKDAFIEDTANTRUM","So So Def/Columbia","USSM19400535","PANDORA.COM - Subscription Webcast","Webcasting",01-APR-15,30-APR-15,53,,"CURRENT",.0537278935907819
"","Da Brat","Fa All Y'All","Funkdafied","So So Def/Work","USSM10024455","8TRACKS.COM - Nonsubscription Webcast","Webcasting",01-JAN-15,30-APR-15,23,,"CURRENT",.01313563904336111
"","Da Brat","Fa All Y'All","Funkdafied","So So Def/Work","USSM10024455","BATANGA.COM","Webcasting",01-JAN-15,30-APR-15,17,,"CURRENT",.01585292836468661
"","Da Brat","Fa All Y'All","Funkdafied","So So Def/Work","USSM10024455","CUMULUS MEDIA, INC.","Webcasting",01-APR-15,30-APR-15,33,,"CURRENT",.0307010664114296
"","Da Brat","Fa All Y'All","Funkdafied","So So Def/Work","USSM10024455","LIVE365.COM - Subscription & Nonsubscription Webcast","Webcasting",01-FEB-15,30-APR-15,18,,"CURRENT",.01850787467476007
"","Da Brat","Fa All Y'All","Funkdafied","So So Def/Work","USSM10024455","PANDORA.COM - Nonsubscription Webcast","Webcasting",01-APR-15,30-APR-15,5543,,"CURRENT",3.1466356558208049
"","Da Brat","Fa All Y'All","Funkdafied","So So Def/Work","USSM10024455","PANDORA.COM - Subscription Webcast","Webcasting",01-APR-15,30-APR-15,687,,"CURRENT",.6964351489974952
"","Da Brat","Fa All Y'All","Funkdafied","So So Def/Work","USSM10024455","SONGZA - Nonsubscription Webcast","Webcasting",01-APR-15,30-APR-15,170,,"CURRENT",.15854291253539767
"","Da Brat","Fa All Y'All","Funkdafied","So So Def/Work","USSM10024455","iHeart Media","Webcasting",01-APR-15,30-APR-15,189,,"CURRENT",.19158482484853
"","Da Brat","Fa All Y'All","Funkdafied","So So Def/Work","USSM10024455","iTunes Radio - Universal","Direct Licensing",01-APR-15,30-APR-15,30,,"CURRENT",.0105300478620963
"","Da Brat","Fire It Up","Funkdafied","So So Def/Work","USSM10027859","IMVU.COM","Webcasting",01-MAY-12,31-AUG-14,,,"PRIOR",.288986325535916453
"","Da Brat","Fire It Up","Funkdafied","So So Def/Work","USSM10027859","IHEART.COM","Webcasting",01-JAN-14,30-SEP-14,,,"PRIOR",.5780685114339088
"","Da Brat","Fire It Up","Funkdafied","So So Def/Work","USSM10027859","iHeart Media","Webcasting",01-OCT-14,30-NOV-14,,,"PRIOR",.0353709030840025
"","Da Brat","Fire It Up","Funkdafied","So So Def/Work","USSM10027859","BATANGA.COM","Webcasting",01-JAN-15,30-APR-15,12,,"CURRENT",.011190301896538268
"","Da Brat","Fire It Up","Funkdafied","So So Def/Work","USSM10027859","PANDORA.COM - Nonsubscription Webcast","Webcasting",01-APR-15,30-APR-15,2319,,"CURRENT",1.31644381848249
"","Da Brat","Fire It Up","Funkdafied","So So Def/Work","USSM10027859","PANDORA.COM - Subscription Webcast","Webcasting",01-APR-15,30-APR-15,294,,"CURRENT",.29803774935264
"","Da Brat","Fire It Up","Funkdafied","So So Def/Work","USSM10027859","SLACKER.COM - EMI","Direct Licensing",01-APR-15,30-APR-15,222,,"CURRENT",.069065932083318
"","Da Brat","Fire It Up","Funkdafied","So So Def/Work","USSM10027859","iHeart Media","Webcasting",01-APR-15,30-APR-15,12,,"CURRENT",.0121641158633988
"","Da Brat","Fuck You","Unrestricted","So So Def","USSM19929833","iHeart Media","Webcasting",01-APR-15,30-APR-15,356,,"CURRENT",.360868770614162
