,Work Title,ISWC,Usage Narrative,IP1,IP2,IP3,IP4,Perf Start Date,Perf End Date,Production,Share,Number of Perfs,Amount (performance revenue),Member Name,CAE Number,Distribution (posted),Distribution Period Month
21,Imperial Wizard,T0101809102,UK Concert Service Events,Essex David,Joseph Webster Ltd,Stage Three Music Publishing L,,13/10/2017 , 13/10/2017,"Scottish Exhibition & Conference Centre, Glasgow,",50.00%,,63.2000,Essex David,00070172307,201806A,
22,Imperial Wizard,T0101809102,UK Concert Service Events,Essex David,Joseph Webster Ltd,Stage Three Music Publishing L,,14/10/2017 , 14/10/2017,"Genting Arena, Birmingham, B40 1nt",50.00%,,62.1200,Essex David,00070172307,201806A,
23,Imperial Wizard,T0101809102,UK Concert Service Events,Essex David,Joseph Webster Ltd,Stage Three Music Publishing L,,15/10/2017 , 15/10/2017,"First Direct Arena, Leeds, Ls2 8ar",50.00%,,44.7100,Essex David,00070172307,201806A,
24,Imperial Wizard,T0101809102,UK Concert Service Events,Essex David,Joseph Webster Ltd,Stage Three Music Publishing L,,18/10/2017 , 18/10/2017,"Echo Arena Liverpool, Liverpool, L3 4fp",50.00%,,27.1400,Essex David,00070172307,201806A,
25,Imperial Wizard,T0101809102,UK Concert Service Events,Essex David,Joseph Webster Ltd,Stage Three Music Publishing L,,22/10/2017 , 22/10/2017,"Motorpoint Arena Cardiff, Cardiff, Cf10 2eq",50.00%,,53.3800,Essex David,00070172307,201806A,
26,Lamplight,T0101735867,UK Concert Service Events,Essex David,Stage Three Music (Catalogues),Stage Three Music Publishing L,,13/10/2017 , 13/10/2017,"Scottish Exhibition & Conference Centre, Glasgow,",50.00%,,55.3000,Essex David,00070172307,201806A,
27,Lamplight,T0101735867,UK Concert Service Events,Essex David,Stage Three Music (Catalogues),Stage Three Music Publishing L,,14/10/2017 , 14/10/2017,"Genting Arena, Birmingham, B40 1nt",50.00%,,54.3500,Essex David,00070172307,201806A,
28,Lamplight,T0101735867,UK Concert Service Events,Essex David,Stage Three Music (Catalogues),Stage Three Music Publishing L,,15/10/2017 , 15/10/2017,"First Direct Arena, Leeds, Ls2 8ar",50.00%,,39.1200,Essex David,00070172307,201806A,
29,Lamplight,T0101735867,UK Concert Service Events,Essex David,Stage Three Music (Catalogues),Stage Three Music Publishing L,,18/10/2017 , 18/10/2017,"Echo Arena Liverpool, Liverpool, L3 4fp",50.00%,,23.6500,Essex David,00070172307,201806A,
30,Lamplight,T0101735867,UK Concert Service Events,Essex David,Stage Three Music (Catalogues),Stage Three Music Publishing L,,21/10/2017 , 21/10/2017,"Brighton Conference Centre, Brighton, Bn1 2gr",50.00%,,48.0400,Essex David,00070172307,201806A,
31,Lamplight,T0101735867,UK Concert Service Events,Essex David,Stage Three Music (Catalogues),Stage Three Music Publishing L,,22/10/2017 , 22/10/2017,"Motorpoint Arena Cardiff, Cardiff, Cf10 2eq",50.00%,,46.7100,Essex David,00070172307,201806A,
32,Rock On,T0101731763,UK Concert Service Events,Essex David,Stage Three Music (Catalogues),Stage Three Music Publishing L,,13/10/2017 , 13/10/2017,"Scottish Exhibition & Conference Centre, Glasgow,",50.00%,,51.3500,Essex David,00070172307,201806A,
33,Rock On,T0101731763,UK Concert Service Events,Essex David,Stage Three Music (Catalogues),Stage Three Music Publishing L,,14/10/2017 , 14/10/2017,"Genting Arena, Birmingham, B40 1nt",50.00%,,50.4700,Essex David,00070172307,201806A,
34,Rock On,T0101731763,UK Concert Service Events,Essex David,Stage Three Music (Catalogues),Stage Three Music Publishing L,,15/10/2017 , 15/10/2017,"First Direct Arena, Leeds, Ls2 8ar",50.00%,,36.3300,Essex David,00070172307,201806A,
35,Rock On,T0101731763,UK Concert Service Events,Essex David,Stage Three Music (Catalogues),Stage Three Music Publishing L,,18/10/2017 , 18/10/2017,"Echo Arena Liverpool, Liverpool, L3 4fp",50.00%,,21.9600,Essex David,00070172307,201806A,
36,Rock On,T0101731763,UK Concert Service Events,Essex David,Stage Three Music (Catalogues),Stage Three Music Publishing L,,21/10/2017 , 21/10/2017,"Brighton Conference Centre, Brighton, Bn1 2gr",50.00%,,44.6100,Essex David,00070172307,201806A,
37,Rock On,T0101731763,UK Concert Service Events,Essex David,Stage Three Music (Catalogues),Stage Three Music Publishing L,,22/10/2017 , 22/10/2017,"Motorpoint Arena Cardiff, Cardiff, Cf10 2eq",50.00%,,43.3700,Essex David,00070172307,201806A,
38,Silver Dream Machine,T9000658811,UK Concert Service Events,Essex David,Joseph Webster Ltd,Stage Three Music Publishing L,,13/10/2017 , 13/10/2017,"Scottish Exhibition & Conference Centre, Glasgow,",50.00%,,63.2000,Essex David,00070172307,201806A,
39,Silver Dream Machine,T9000658811,UK Concert Service Events,Essex David,Joseph Webster Ltd,Stage Three Music Publishing L,,14/10/2017 , 14/10/2017,"Genting Arena, Birmingham, B40 1nt",50.00%,,64.7100,Essex David,00070172307,201806A,
40,Silver Dream Machine,T9000658811,UK Concert Service Events,Essex David,Joseph Webster Ltd,Stage Three Music Publishing L,,15/10/2017 , 15/10/2017,"First Direct Arena, Leeds, Ls2 8ar",50.00%,,46.5700,Essex David,00070172307,201806A,
41,Silver Dream Machine,T9000658811,UK Concert Service Events,Essex David,Joseph Webster Ltd,Stage Three Music Publishing L,,18/10/2017 , 18/10/2017,"Echo Arena Liverpool, Liverpool, L3 4fp",50.00%,,28.1500,Essex David,00070172307,201806A,
42,Silver Dream Machine,T9000658811,UK Concert Service Events,Essex David,Joseph Webster Ltd,Stage Three Music Publishing L,,21/10/2017 , 21/10/2017,"Brighton Conference Centre, Brighton, Bn1 2gr",50.00%,,57.1900,Essex David,00070172307,201806A,
43,Silver Dream Machine,T9000658811,UK Concert Service Events,Essex David,Joseph Webster Ltd,Stage Three Music Publishing L,,22/10/2017 , 22/10/2017,"Motorpoint Arena Cardiff, Cardiff, Cf10 2eq",50.00%,,55.6100,Essex David,00070172307,201806A,
