,Work Title,ISWC,Usage Narrative,IP1,IP2,IP3,IP4,Perf Start Date,Perf End Date,Production,Share,Number of Perfs,Amount (performance revenue),Member Name,CAE Number,Distribution (posted),Distribution Period Month
0,Coming Home,T0101775205,UK Background Music Systems (Mood Media),Essex David,Stage Three Music (Catalogues),Stage Three Music Publishing L,,31/12/2017 , 31/12/2017,Analogy,50.00%,,0.6200,Essex David,00070172307,201805C,
1,Gonna Make You A Star,T0101749170,UK Background Music Systems (Mood Media),Essex David,Stage Three Music (Catalogues),Stage Three Music Publishing L,,31/12/2017 , 31/12/2017,Analogy,50.00%,,14.7000,Essex David,00070172307,201805C,
2,Hold Me Close,T0101759630,UK Background Music Systems (Mood Media),Essex David,Stage Three Music (Catalogues),Stage Three Music Publishing L,,31/12/2017 , 31/12/2017,Analogy,50.00%,,20.4100,Essex David,00070172307,201805C,
3,Lamplight,T0101735867,UK Background Music Systems (Mood Media),Essex David,Stage Three Music (Catalogues),Stage Three Music Publishing L,,31/12/2017 , 31/12/2017,Analogy,50.00%,,0.7100,Essex David,00070172307,201805C,
4,Rock On,T0101731763,UK Background Music Systems (Mood Media),Essex David,Stage Three Music (Catalogues),Stage Three Music Publishing L,,31/12/2017 , 31/12/2017,Analogy,50.00%,,0.1200,Essex David,00070172307,201805C,
